"N° d'inventaire","Libellé 1 (Ph.)","Libellé 2 (Ph.)","Date créat. (Ph.)","Date inventaire","Date ctrl inventaire","Code barre","Etab. (Ph.)","Site (Ph.)","Niveau (Ph.)","Sect. ana. (Ph.)","Date d'acquisition","Montant H.T.","Marque","Fournisseur","Compte (Ph.)","Rapproché","Valide (Ph.)","Sortie (Ph.)","Code budget","Demande engagement","N° de commande",""
"200012143767","SPECTROPHOTOMETRE","DANS LA SOCIETE HEVEGO","4/30/2002","11/4/2002","11/4/2002","","41600","","","218410","4/30/2002","1,723.20",""," LABOVER","215410","Oui","Oui","Non","9000004754","F BONFILS","",""
"200012143887","SPECTROCOLORIMETRE CM-2500D","241-3100-200007 MINOLTA","6/18/2002","","","","20400","","","211308","","","","","215410","Oui","Non","Non","","","",""
"200012143989","SPECTROPHOTOMETRE HELIOS ALPHA","280-0224-2000194 FISHER ","12/23/2002","","","","20800","","","715005","","","","","215410","Oui","Non","Non","","","",""
"200012145352","SPECTROPHOTOMETRE SMARTSPECTUS","225-0252-400378 BIO-RAD","9/1/2004","","","","20200","","","295507","","","","","215410","Oui","Non","Non","","","",""
"200012145379","SPECTROMETRE SOLAAR M6","265-ACH-3001337 THERMO OPTEK","11/10/2004","","","","20600","","","292062","","","","","215410","Oui","Non","Non","","","",""
"200012145956","SPECTRO UV VISIBLE A BALAYAGE"," GROSSERON","12/1/2005","","","","20800","","","292053","12/1/2005","5,415.83",""," GROSSERON","215410","Oui","Non","Non","9000008777","MRST","200000/82708",""
"200012146909","SPECTROPHOTOMETRE NANODROP","280-ACH-7004994/995 LABTECH","12/1/2007","","","","20800","","","214515","","","","","215410","Oui","Non","Non","","","",""
"200012147317","SPECTROPHOTOMETRE GENOSYS","242-ACH-8000133 VWR","2/20/2008","","","","20400","","","218371","","","","","215410","Oui","Non","Non","","","",""
"200012147596","SPECTROPHOTOMETRE CARY 100","265-ACH-8001149/1039 VARIAN","7/21/2008","","","","20600","","","290006","","","","","215410","Oui","Non","Non","","","",""
"200012148020","SPECTROPHOTO. PORTATIF LABSTEC 5000","280-ACH*8005522/5525  BONSAI","1/1/2009","","","","20800","","","216391","","","","","215410","Oui","Non","Non","","","","portable "
"200012148036","SPECTROPHOTOMETRE HELIOS EPSILON","280-ACH*8005544 FISHER SCIENTIFIC","1/1/2009","","","","20800","","","290062","","","","","215410","Oui","Non","Non","","","",""
"200012148139","SPECTROMETRE INFRA ROUGE XDS","8026330 FOSS","1/2/2009","12/3/2015","12/9/2015","","20800","SAINT DENIS","","217539","","","","8026330 FOSS","215410","Oui","Oui","Non","","","","DOM"
"200012148432","SPECTRO GC/MS/MS AUTOMATIQUE","265-ACH*9001342/1317 VARIAN","12/1/2009","","","","20600","","","290110","","","","","215410","Oui","Non","Non","","","",""
